,vk_id,result
0,447989889,3EAR
1,531789659,3IAG
2,310682547,3IAG
3,533102471,3EAG
4,563215118,3IAR
5,524403219,3IAG
6,406769852,3IAG
7,218202323,3EAG
8,458445815,3IAG
9,343868242,3EAG
10,177585432,3EAG
11,325328626,3IAG
12,306929133,3EAG
13,427741503,3IAG
14,379388693,3IAG
15,354967618,3IAG
16,744112183,3IAG
17,279089390,3IAG
18,460253397,3IAG
19,419473754,3IAG
20,472259974,3IAR
21,339751031,3IAR
22,277407514,3EAG
23,444324750,3IAR
24,287052542,3IAG
25,357158505,3IAR
26,330941239,3IAG
27,417638861,3EAR
28,320031903,3IAG
29,365416005,3IAG
30,443604212,3IAG
31,437930185,3IAG
32,221996121,3IAG
33,411407219,3EAR
34,348302531,3IAG
35,509647146,3IAG
36,334138409,3IAG
37,483864616,3IAG
38,250011157,3IAG
39,234564300,3EAG
40,320861792,3IAG
41,19195604,3IAG
42,339310732,3IAG
43,156715696,3IAG
44,401050314,3IAG
45,455640958,3IAG
46,453453747,3IAG
47,365594364,3IAG
48,367254194,3IAG
49,349280179,3EAG
50,373851412,3EAG
51,250824711,3IAG
52,396622308,3EAG
53,240321031,3IAG
54,161806207,3IAG
55,371535126,3IAG
56,400946236,3EAG
57,11060461,3IAG
58,320303047,3IAG
59,506725038,3IAG
60,246207658,3EAR
61,424659041,3EAR
62,25037831,3IAG
63,409453511,3IAG
64,431361375,3IAG
65,333202242,3EAG
66,262754970,3EAG
67,338994296,3IAG
68,467934071,3IAG
69,281937002,3IAG
70,217859015,3IAG
71,259458262,3EAR
72,306676433,3IAG
73,193670930,3EAG
74,195505946,3EAG
75,249918469,3IAG
76,229923462,3IAG
77,334551105,3EAG
78,298883741,3IAG
79,255916267,3IAG
80,390232922,3IAG
81,300932686,3IAG
82,358243048,3IAG
83,248371096,3EAG
84,235373182,3IAG
85,386327066,3EAG
86,380642358,3IAG
87,365832119,3IAG
88,301780525,3IAG
89,372457421,3IAG
90,288771000,3EAG
91,493314027,3IAG
92,232104449,3IAG
93,244776142,3IAG
94,413494130,3IAG
95,259043789,3IAG
96,470969386,3IAG
97,382386425,3IAG
98,241465860,3IAG
99,373786722,3EAG
100,240878115,3EAG
101,458353968,3EAG
102,283132371,3EAG
103,411262581,3IAG
104,319684288,3EAR
105,357101802,3IAG
106,268168170,3IAG
107,281695447,3IAG
108,458167155,3IAG
109,167893388,3EAG
110,216823280,3EAR
111,199137926,3IAG
112,186050961,3IAG
113,449951530,3EAR
114,361715024,3IAG
115,292693016,3EAG
116,229158293,3IAG
117,411066069,3IAG
118,336515568,3EAG
119,280932349,3IAG
120,198449470,3IAG
121,506848401,3IAG
122,290932967,3EAG
123,495501086,3IAG
124,216334558,3IAG
125,188988918,3IAR
126,341169356,3IAG
127,252039737,3IAG
128,346707887,3IAG
129,433223991,3IAG
130,221219689,3IAG
131,284282764,3IAG
132,464057464,3IAG
133,352269927,3IAG
134,314320480,3IAG
135,184913640,3IAG
136,405920107,3IAG
137,350049333,3IAG
138,490324033,3IAR
139,285855209,3IAR
140,347473902,3IAG
141,252954692,3IAG
142,183749466,3IAG
143,503058819,3IAG
144,210340276,3IAG
145,474922593,3IAG
146,312572160,3IAG
147,392523496,3IAG
148,442738014,3EAR
149,394273676,3IAG
